Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,TASK-8,TASK-9,TASK-10,TASK-11,TASK-12,TASK-13,TASK-14,TASK-15,TASK-16,TASK-17,TASK-18,TASK-19,TASK-20,TASK-21,TASK-22,TASK-23,TASK-24,TASK-25,TASK-26,TASK-27,TASK-28,TASK-29,TASK-30,TASK-31,TASK-32,TASK-33,TASK-34,TASK-35,TASK-36,TASK-37,TASK-38,TASK-39,TASK-40,TASK-41,TASK-42,TASK-43,TASK-44,TASK-45,TASK-46,TASK-47,TASK-48,TASK-49,TASK-50,TASK-51,TASK-52,TASK-53,TASK-54,TASK-55,TASK-56,TASK-57,TASK-58,TASK-59,TASK-60,TASK-61,TASK-62,TASK-63,TASK-64,TASK-65,TASK-66,TASK-67,TASK-68,TASK-69,
iteration-11,-5.0,-4.0,-5.0,-5.0,-4.0,-3.5,-3.5,-3.5,-1.5,-5.0,-1.5,-3.0,-3.5,-5.0,-2.5,-2.5,-2.5,-3.0,-2.5,-3.0,-5.0,-4.5,-3.5,-5.0,-3.5,-3.5,-5.0,-5.0,-3.5,-5.0,-5.0,-5.0,-5.0,-5.0,-3.5,-5.0,-3.5,-3.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-3.5,-4.5,-4.0,-5.0,-4.5,-5.0,-2.5,-4.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,
iteration-12,-5.5,-4.5,-5.5,-5.5,-4.5,-4.0,-4.0,-4.0,-1.5,-5.0,-2.0,-2.5,-3.5,-5.5,-2.5,-2.5,-3.0,-3.0,-2.5,-3.0,-5.5,-4.5,-3.0,-5.5,-3.5,-3.0,-5.0,-5.5,-4.0,-5.5,-5.0,-5.5,-5.5,-4.5,-4.0,-5.5,-4.0,-4.0,-5.5,-5.0,-5.0,-5.5,-5.0,-5.5,-5.5,-5.0,-5.0,-3.5,-4.5,-4.5,-5.5,-4.5,-5.5,-3.0,-4.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.0,-5.5,-5.5,-5.5,
iteration-13,-6.0,-4.5,-6.0,-6.0,-4.5,-4.0,-3.5,-3.5,-1.0,-5.5,-1.5,-2.5,-3.0,-6.0,-2.0,-2.5,-3.0,-3.0,-2.0,-3.0,-6.0,-5.0,-3.0,-6.0,-3.0,-3.0,-5.5,-5.5,-4.0,-6.0,-5.0,-6.0,-6.0,-4.5,-4.0,-5.5,-3.5,-3.5,-6.0,-5.0,-5.5,-6.0,-5.0,-6.0,-5.5,-5.5,-5.0,-4.0,-5.0,-4.5,-6.0,-5.0,-6.0,-3.0,-4.5,-6.0,-5.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.5,-6.0,-6.0,-6.0,
iteration-14,-6.0,-4.5,-6.0,-6.0,-4.5,-3.5,-4.0,-3.5,-0.5,-5.0,-1.0,-2.5,-3.0,-6.0,-2.0,-2.5,-3.5,-3.5,-2.0,-3.5,-6.5,-5.0,-3.0,-6.5,-3.0,-3.0,-5.5,-6.0,-4.0,-6.5,-5.5,-6.0,-6.0,-4.5,-4.0,-6.0,-3.5,-3.5,-6.5,-5.5,-5.5,-6.5,-5.0,-6.5,-6.0,-5.5,-4.5,-4.5,-4.5,-5.0,-6.5,-4.5,-6.5,-3.5,-5.0,-6.5,-6.0,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-5.5,-6.5,-6.5,-6.5,
iteration-15,-6.5,-4.5,-6.5,-6.0,-4.5,-3.5,-4.0,-3.5,-0.5,-5.0,-0.5,-2.0,-3.5,-6.0,-2.0,-2.0,-3.5,-3.5,-2.5,-3.5,-7.0,-5.0,-3.0,-7.0,-3.0,-3.0,-5.5,-6.0,-4.5,-7.0,-5.0,-6.0,-6.5,-4.5,-4.0,-6.5,-3.5,-3.5,-7.0,-5.0,-5.5,-7.0,-5.0,-6.0,-6.0,-6.0,-5.0,-5.0,-5.0,-5.5,-7.0,-5.0,-6.5,-3.5,-5.5,-7.0,-5.5,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-6.0,-7.0,-7.0,-7.0,
iteration-16,-6.5,-4.5,-6.5,-6.0,-4.5,-3.5,-4.5,-3.5,-0.5,-5.0,-0.5,-2.0,-2.5,-6.0,-2.0,-2.0,-3.5,-3.5,-2.0,-3.5,-7.5,-5.0,-2.5,-7.5,-2.5,-2.5,-5.5,-6.0,-4.0,-7.5,-4.5,-6.0,-6.5,-4.5,-4.5,-6.5,-3.5,-3.5,-7.5,-4.5,-6.0,-7.5,-5.0,-6.0,-6.5,-6.0,-5.0,-5.0,-4.5,-5.5,-7.5,-5.0,-6.5,-3.5,-5.5,-7.5,-5.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-7.5,-6.0,-7.5,-7.5,-7.5,
iteration-17,-6.5,-4.5,-6.5,-6.0,-4.5,-3.5,-4.5,-3.0,-0.5,-5.0,-0.5,-1.5,-3.0,-6.0,-2.0,-1.5,-3.5,-3.0,-2.0,-3.0,-8.0,-5.0,-2.5,-8.0,-2.5,-3.0,-5.5,-6.0,-4.5,-8.0,-4.5,-6.5,-7.0,-4.5,-5.0,-7.0,-3.5,-4.0,-7.5,-5.0,-6.0,-8.0,-4.5,-6.5,-6.5,-6.0,-5.0,-5.0,-4.5,-6.0,-8.0,-4.5,-6.5,-4.0,-5.5,-7.5,-6.0,-7.0,-8.0,-7.5,-8.0,-8.0,-8.0,-8.0,-7.0,-8.0,-6.0,-8.0,-7.5,-8.0,
iteration-18,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-4.0,-3.0,-0.5,-5.0,-0.5,-1.5,-2.0,-6.0,-1.5,-2.0,-3.0,-3.0,-2.0,-3.0,-8.5,-5.0,-2.5,-8.5,-2.0,-2.5,-5.5,-6.0,-4.5,-8.0,-4.5,-6.5,-6.5,-4.5,-4.0,-7.0,-3.0,-3.5,-8.0,-4.5,-6.5,-8.5,-5.0,-7.0,-6.5,-6.5,-5.5,-5.5,-4.5,-6.0,-7.5,-5.0,-6.0,-4.0,-6.0,-7.5,-6.5,-6.5,-8.0,-7.5,-8.5,-8.5,-8.0,-8.5,-7.5,-8.5,-6.5,-8.5,-8.0,-8.0,
iteration-19,-6.5,-4.5,-6.5,-6.0,-4.5,-3.5,-4.5,-3.5,-1.0,-4.5,-0.5,-1.5,-2.5,-6.0,-1.5,-1.5,-2.5,-3.0,-1.5,-3.0,-9.0,-4.5,-2.0,-9.0,-2.0,-2.5,-6.0,-5.5,-4.5,-8.5,-4.5,-6.5,-7.0,-4.5,-4.5,-7.0,-3.5,-3.5,-8.5,-5.0,-6.5,-9.0,-4.5,-7.5,-6.5,-6.0,-5.5,-5.5,-4.5,-5.5,-8.0,-5.0,-6.0,-4.0,-6.0,-7.5,-6.5,-6.5,-8.0,-7.5,-8.5,-9.0,-8.5,-9.0,-7.5,-8.5,-7.0,-9.0,-7.5,-8.5,
iteration-20,-7.0,-4.5,-6.5,-6.5,-5.0,-3.0,-3.5,-3.0,-1.0,-4.5,-0.5,-1.5,-2.5,-6.0,-1.5,-1.5,-2.5,-3.0,-2.0,-3.0,-9.5,-5.0,-2.5,-9.5,-2.0,-2.5,-6.0,-5.5,-4.5,-9.0,-4.0,-6.5,-7.0,-4.5,-4.0,-7.0,-3.0,-3.5,-8.0,-4.5,-6.5,-9.5,-4.5,-7.5,-7.0,-6.0,-5.5,-6.0,-4.5,-6.0,-8.5,-5.0,-6.5,-4.0,-6.5,-7.5,-7.0,-7.0,-8.5,-7.5,-9.0,-9.5,-9.0,-9.5,-7.0,-8.5,-7.0,-9.5,-7.5,-8.5,
iteration-21,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-3.5,-2.5,-1.0,-4.0,0.0,-2.0,-2.5,-6.0,-1.5,-1.5,-3.0,-3.0,-2.0,-3.0,-10.0,-4.5,-2.0,-10.0,-2.0,-2.0,-6.0,-5.5,-4.5,-9.5,-4.0,-6.5,-7.0,-4.5,-4.0,-7.0,-3.0,-3.5,-8.0,-4.5,-6.5,-10.0,-4.5,-7.5,-7.0,-6.0,-5.5,-6.0,-4.5,-5.5,-8.5,-5.5,-6.5,-4.5,-6.0,-7.5,-7.0,-7.0,-9.0,-7.5,-9.5,-10.0,-9.0,-10.0,-7.0,-8.5,-7.0,-9.5,-7.5,-9.0,
iteration-22,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-4.0,-3.0,-1.0,-3.5,-0.5,-2.0,-2.5,-6.0,-1.5,-1.5,-3.0,-3.0,-2.0,-3.0,-10.5,-4.5,-2.5,-10.5,-2.5,-2.5,-6.0,-5.0,-5.0,-10.0,-3.5,-6.5,-7.0,-4.0,-4.0,-7.0,-3.5,-3.5,-8.5,-4.0,-6.5,-10.0,-4.5,-7.5,-6.5,-6.0,-6.0,-6.5,-4.5,-6.0,-9.0,-5.5,-6.5,-5.0,-6.5,-7.5,-6.5,-7.0,-9.0,-7.5,-9.5,-10.5,-9.5,-10.5,-7.5,-8.5,-7.5,-10.0,-7.5,-9.5,
iteration-23,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-4.0,-3.0,-1.0,-2.5,-1.5,-2.0,-1.5,-6.0,-1.5,-2.5,-2.0,-3.0,-2.0,-3.0,-10.5,-4.5,-2.5,-11.5,-1.5,-2.5,-6.0,-5.0,-4.0,-11.0,-3.5,-6.5,-7.0,-3.0,-4.0,-7.0,-3.5,-3.5,-8.5,-4.0,-6.5,-10.0,-5.5,-8.5,-6.5,-6.0,-6.0,-6.5,-3.5,-6.0,-9.0,-5.5,-6.5,-5.0,-7.5,-7.5,-7.5,-6.0,-9.0,-6.5,-9.5,-11.5,-10.5,-11.5,-7.5,-8.5,-8.5,-10.0,-7.5,-10.5,
iteration-24,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-2.5,-1.5,-2.5,-1.0,0.0,-2.0,-1.5,-6.0,-1.5,-1.0,-2.0,-3.0,-2.0,-3.0,-10.5,-4.5,-2.5,-13.0,-1.5,-2.5,-6.0,-5.0,-5.5,-9.5,-3.5,-6.5,-7.0,-3.0,-4.0,-7.0,-2.0,-3.5,-7.0,-4.0,-6.5,-11.5,-4.0,-8.5,-6.5,-6.0,-6.0,-8.0,-5.0,-6.0,-9.0,-7.0,-6.5,-6.5,-7.5,-7.5,-7.5,-6.0,-9.0,-6.5,-9.5,-13.0,-10.5,-11.5,-7.5,-8.5,-7.0,-11.5,-7.5,-12.0,
iteration-25,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-2.5,-1.5,-2.5,-1.0,0.0,-2.0,0.5,-6.0,-1.5,-3.0,-2.0,-1.0,-2.0,-1.0,-10.5,-4.5,-0.5,-11.0,-1.5,-2.5,-6.0,-3.0,-3.5,-9.5,-3.5,-6.5,-7.0,-5.0,-4.0,-7.0,-2.0,-3.5,-7.0,-4.0,-8.5,-11.5,-6.0,-8.5,-6.5,-6.0,-6.0,-6.0,-5.0,-6.0,-11.0,-7.0,-6.5,-6.5,-7.5,-5.5,-7.5,-6.0,-9.0,-6.5,-9.5,-13.0,-10.5,-11.5,-7.5,-8.5,-9.0,-11.5,-7.5,-12.0,
iteration-26,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-2.5,-1.5,-2.5,-1.0,0.0,-2.0,0.5,-6.0,-1.5,-0.5,-4.5,-1.0,-2.0,-1.0,-10.5,-2.0,-3.0,-11.0,-1.5,-5.0,-3.5,-5.5,-3.5,-7.0,-3.5,-6.5,-7.0,-2.5,-4.0,-9.5,-2.0,-6.0,-7.0,-4.0,-6.0,-11.5,-3.5,-8.5,-9.0,-3.5,-6.0,-6.0,-2.5,-6.0,-11.0,-7.0,-4.0,-6.5,-7.5,-5.5,-7.5,-6.0,-9.0,-6.5,-9.5,-13.0,-10.5,-11.5,-7.5,-11.0,-6.5,-11.5,-10.0,-12.0,
iteration-27,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-2.5,-1.5,-2.5,-1.0,-3.0,-2.0,0.5,-6.0,-1.5,-0.5,-4.5,-1.0,-2.0,-1.0,-10.5,-2.0,-3.0,-11.0,-1.5,-5.0,-6.5,-2.5,-6.5,-10.0,-3.5,-9.5,-10.0,-2.5,-4.0,-9.5,-2.0,-3.0,-7.0,-4.0,-9.0,-8.5,-6.5,-8.5,-6.0,-3.5,-6.0,-6.0,-5.5,-6.0,-11.0,-7.0,-7.0,-9.5,-7.5,-2.5,-7.5,-6.0,-12.0,-6.5,-9.5,-13.0,-10.5,-11.5,-7.5,-8.0,-9.5,-11.5,-7.0,-12.0,
iteration-28,-6.5,-4.5,-6.5,-6.0,-4.5,-3.0,-2.5,-1.5,-2.5,-1.0,0.5,1.5,0.5,-6.0,-1.5,-4.0,-4.5,-1.0,-2.0,-1.0,-10.5,-2.0,0.5,-11.0,-1.5,-5.0,-6.5,-2.5,-3.0,-6.5,-3.5,-6.0,-10.0,-2.5,-4.0,-9.5,-2.0,-6.5,-7.0,-4.0,-9.0,-8.5,-3.0,-8.5,-6.0,-7.0,-9.5,-6.0,-2.0,-2.5,-11.0,-7.0,-3.5,-6.0,-7.5,-6.0,-7.5,-9.5,-8.5,-10.0,-9.5,-13.0,-10.5,-11.5,-7.5,-8.0,-9.5,-15.0,-7.0,-12.0,
iteration-29,-6.5,-4.5,-6.5,-6.0,-4.5,-7.0,-2.5,-1.5,-2.5,-1.0,-3.5,-2.5,0.5,-6.0,-1.5,0.0,-0.5,-1.0,-2.0,-1.0,-10.5,-2.0,0.5,-11.0,-1.5,-1.0,-6.5,-2.5,-7.0,-6.5,-3.5,-6.0,-10.0,-2.5,-8.0,-5.5,-2.0,-6.5,-7.0,0.0,-9.0,-8.5,-3.0,-8.5,-6.0,-3.0,-5.5,-6.0,-6.0,-2.5,-15.0,-7.0,-7.5,-6.0,-7.5,-2.0,-7.5,-9.5,-12.5,-6.0,-9.5,-13.0,-10.5,-11.5,-7.5,-8.0,-9.5,-11.0,-7.0,-12.0,
iteration-30,-6.5,-4.5,-6.5,-6.0,-4.5,-2.5,-2.5,-1.5,2.0,-5.5,1.0,-2.5,0.5,-6.0,-1.5,0.0,-5.0,-1.0,-2.0,-1.0,-10.5,-6.5,-4.0,-11.0,-1.5,-1.0,-2.0,-2.5,-7.0,-6.5,-3.5,-10.5,-5.5,-2.5,-3.5,-10.0,-2.0,-6.5,-7.0,-4.5,-9.0,-8.5,-3.0,-8.5,-6.0,-3.0,-5.5,-6.0,-1.5,-7.0,-10.5,-7.0,-3.0,-6.0,-7.5,-2.0,-7.5,-5.0,-12.5,-6.0,-9.5,-13.0,-10.5,-11.5,-7.5,-12.5,-9.5,-11.0,-7.0,-12.0,
iteration-31,-6.5,-4.5,-6.5,-6.0,-4.5,-2.5,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,0.0,-5.0,-6.0,-2.0,-6.0,-10.5,-1.5,1.0,-11.0,-1.5,-1.0,-2.0,-2.5,-2.0,-11.5,-3.5,-5.5,-5.5,-2.5,-3.5,-10.0,-2.0,-6.5,-7.0,0.5,-4.0,-8.5,-3.0,-8.5,-1.0,-3.0,-5.5,-6.0,-1.5,-2.0,-10.5,-7.0,-3.0,-6.0,-7.5,-7.0,-7.5,-5.0,-7.5,-6.0,-9.5,-13.0,-10.5,-16.5,-7.5,-12.5,-9.5,-11.0,-12.0,-12.0,
iteration-32,-6.5,-4.5,-6.5,-6.0,-4.5,-2.5,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,0.0,-5.0,-0.5,-2.0,-6.0,-10.5,-1.5,-4.5,-11.0,-1.5,-1.0,-2.0,-2.5,-2.0,-6.0,2.0,-5.5,-5.5,-2.5,-3.5,-4.5,-2.0,-1.0,-1.5,-5.0,-9.5,-8.5,-3.0,-8.5,-6.5,-8.5,-5.5,-6.0,-1.5,-7.5,-5.0,-7.0,-3.0,-6.0,-7.5,-7.0,-7.5,-5.0,-7.5,-11.5,-9.5,-13.0,-10.5,-11.0,-2.0,-12.5,-9.5,-11.0,-6.5,-12.0,
iteration-33,-6.5,-4.5,-6.5,-6.0,-4.5,-2.5,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,0.0,1.0,-0.5,-2.0,-6.0,-10.5,-1.5,-4.5,-11.0,-1.5,-1.0,-2.0,-8.5,-2.0,-6.0,-4.0,-5.5,-5.5,-2.5,-3.5,-10.5,-2.0,-1.0,-1.5,-5.0,-9.5,-8.5,-3.0,-8.5,-6.5,-2.5,-5.5,-6.0,-1.5,-7.5,-11.0,-7.0,-3.0,-6.0,-7.5,-7.0,-7.5,-5.0,-7.5,-5.5,-9.5,-13.0,-10.5,-11.0,-2.0,-12.5,-9.5,-5.0,-6.5,-12.0,
iteration-34,-6.5,-4.5,-6.5,-6.0,-4.5,-2.5,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,-6.0,-5.0,-0.5,-2.0,0.0,-10.5,-7.5,-4.5,-11.0,-1.5,-1.0,-2.0,-2.5,-2.0,-6.0,-4.0,-11.5,-5.5,-2.5,-3.5,-10.5,-2.0,-7.0,-1.5,-5.0,-9.5,-8.5,-3.0,-8.5,-6.5,-2.5,-5.5,-6.0,-1.5,-7.5,-5.0,-7.0,-3.0,-6.0,-7.5,-1.0,-7.5,-5.0,-7.5,-5.5,-9.5,-13.0,-10.5,-11.0,-2.0,-6.5,-3.5,-11.0,-6.5,-12.0,
iteration-35,-6.5,-4.5,-6.5,-6.0,-4.5,-9.0,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,0.5,-5.0,-0.5,-2.0,-6.5,-10.5,-7.5,2.0,-11.0,-1.5,-1.0,-2.0,-2.5,-2.0,-6.0,-4.0,-5.0,-12.0,-2.5,-3.5,-4.0,-2.0,-0.5,-8.0,-5.0,-9.5,-8.5,-9.5,-8.5,-6.5,-2.5,-5.5,-6.0,-1.5,-7.5,-11.5,-7.0,-3.0,0.5,-7.5,-1.0,-7.5,-11.5,-7.5,-5.5,-9.5,-6.5,-10.5,-11.0,-8.5,-6.5,-10.0,-4.5,-6.5,-12.0,
iteration-36,-6.5,-4.5,-6.5,-6.0,-4.5,-9.0,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,-6.5,-5.0,-7.5,-2.0,0.5,-10.5,-7.5,2.0,-11.0,-1.5,-1.0,-2.0,-2.5,-2.0,-6.0,-4.0,-5.0,-5.0,-2.5,-3.5,-4.0,-2.0,-0.5,-8.0,-5.0,-9.5,-8.5,-2.5,-8.5,-6.5,-2.5,-5.5,-6.0,-1.5,-7.5,-11.5,-7.0,-3.0,0.5,-7.5,-8.0,-7.5,-11.5,-7.5,-5.5,-9.5,-6.5,-10.5,-11.0,-8.5,-6.5,-10.0,-4.5,-6.5,-12.0,
iteration-37,-6.5,-4.5,-6.5,-6.0,-4.5,-9.0,-2.5,-1.5,-3.0,-0.5,1.0,-2.5,0.5,-6.0,-1.5,-6.5,-5.0,-0.5,-2.0,0.5,-10.5,-7.5,2.0,-11.0,-1.5,-1.0,-2.0,-2.5,-2.0,-6.0,-4.0,-5.0,-12.0,-2.5,-3.5,-4.0,-2.0,-0.5,-8.0,-5.0,-9.5,-8.5,-2.5,-8.5,-6.5,-2.5,-5.5,-6.0,-1.5,-7.5,-11.5,-7.0,-3.0,0.5,-7.5,-1.0,-7.5,-11.5,-7.5,-5.5,-9.5,-6.5,-10.5,-11.0,-8.5,-6.5,-10.0,-11.5,-6.5,-12.0,
