Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,TASK-36,TASK-37,TASK-38,TASK-39,TASK-40,TASK-41,TASK-42,TASK-43,TASK-44,TASK-45,TASK-46,TASK-47,
iteration-45,-10.0,-11.5,-10.0,-5.0,-2.5,-10.0,-14.0,-19.5,-24.5,-38.0,-26.5,-26.0,-16.5,-23.0,-19.0,-28.0,-16.5,-17.0,-19.5,-19.0,
iteration-46,-10.0,-11.5,-14.0,-9.0,-6.5,-10.0,-14.0,-19.5,-24.5,-34.0,-22.5,-22.0,-20.5,-19.0,-19.0,-24.0,-16.5,-21.0,-19.5,-19.0,
iteration-47,-10.0,-11.5,-9.5,-9.0,-2.0,-10.0,-14.0,-15.0,-24.5,-38.5,-22.5,-22.0,-25.0,-19.0,-19.0,-24.0,-21.0,-21.0,-19.5,-19.0,
iteration-48,-10.0,-11.5,-9.5,-9.0,-2.0,-5.0,-9.0,-15.0,-24.5,-38.5,-27.5,-27.0,-25.0,-19.0,-19.0,-29.0,-16.0,-21.0,-19.5,-19.0,
iteration-49,-10.0,-6.0,-9.5,-9.0,-2.0,-10.5,-14.5,-20.5,-30.0,-38.5,-22.0,-21.5,-25.0,-19.0,-19.0,-23.5,-16.0,-21.0,-19.5,-19.0,
iteration-50,-16.0,-12.0,-9.5,-9.0,-2.0,-10.5,-8.5,-14.5,-24.0,-38.5,-28.0,-21.5,-25.0,-19.0,-19.0,-23.5,-16.0,-21.0,-19.5,-19.0,
iteration-51,-9.5,-5.5,-9.5,-9.0,-2.0,-10.5,-8.5,-14.5,-30.5,-38.5,-28.0,-28.0,-25.0,-19.0,-19.0,-23.5,-16.0,-21.0,-19.5,-19.0,
iteration-52,-16.5,-12.5,-9.5,-9.0,-9.0,-10.5,-15.5,-14.5,-23.5,-38.5,-21.0,-28.0,-18.0,-19.0,-19.0,-16.5,-16.0,-21.0,-19.5,-19.0,
iteration-53,-9.0,-5.0,-9.5,-9.0,-9.0,-10.5,-8.0,-22.0,-23.5,-38.5,-28.5,-28.0,-25.5,-19.0,-19.0,-24.0,-16.0,-13.5,-19.5,-19.0,
iteration-54,-17.0,-13.0,-9.5,-9.0,-9.0,-10.5,-8.0,-22.0,-23.5,-38.5,-20.5,-28.0,-17.5,-19.0,-19.0,-24.0,-16.0,-13.5,-19.5,-19.0,
iteration-55,-9.0,-5.0,-9.5,-9.0,-1.0,-10.5,-16.0,-22.0,-23.5,-38.5,-28.5,-28.0,-25.5,-19.0,-19.0,-24.0,-16.0,-13.5,-19.5,-19.0,
iteration-56,-17.5,-13.5,-9.5,-9.0,-1.0,-10.5,-7.5,-13.5,-23.5,-38.5,-28.5,-28.0,-25.5,-19.0,-19.0,-24.0,-16.0,-13.5,-19.5,-19.0,
iteration-57,-8.5,-13.5,-9.5,-9.0,-10.0,-10.5,-7.5,-13.5,-23.5,-38.5,-28.5,-28.0,-25.5,-19.0,-19.0,-15.0,-16.0,-22.5,-19.5,-19.0,
iteration-58,-8.5,-13.5,-9.5,-9.0,-10.0,-10.5,-7.5,-13.5,-23.5,-38.5,-28.5,-28.0,-16.0,-19.0,-19.0,-24.5,-16.0,-22.5,-19.5,-19.0,
iteration-59,-18.0,-13.5,-9.5,-9.0,-10.0,-10.5,-7.5,-23.0,-23.5,-38.5,-28.5,-28.0,-16.0,-19.0,-19.0,-15.0,-16.0,-13.0,-19.5,-19.0,
iteration-60,-8.0,-3.5,-9.5,-9.0,0.0,-10.5,-17.5,-23.0,-33.5,-38.5,-28.5,-28.0,-16.0,-19.0,-19.0,-15.0,-16.0,-23.0,-19.5,-19.0,
iteration-61,-8.0,-3.5,-9.5,-9.0,-10.5,-10.5,-7.0,-12.5,-23.0,-38.5,-28.5,-28.0,-16.0,-29.5,-19.0,-25.5,-16.0,-23.0,-19.5,-19.0,
iteration-62,-8.0,-3.5,-9.5,-9.0,-10.5,-10.5,-7.0,-12.5,-23.0,-38.5,-28.5,-39.0,-27.0,-29.5,-19.0,-14.5,-27.0,-23.0,-19.5,-19.0,
iteration-63,-19.5,-15.0,-9.5,-9.0,-10.5,-10.5,-7.0,-24.0,-23.0,-38.5,-28.5,-27.5,-27.0,-18.0,-19.0,-14.5,-15.5,-23.0,-19.5,-19.0,
iteration-64,-7.5,-3.0,-9.5,-9.0,-10.5,-10.5,-7.0,-24.0,-23.0,-38.5,-28.5,-27.5,-27.0,-18.0,-31.0,-26.5,-15.5,-23.0,-19.5,-19.0,
iteration-65,-20.0,-15.5,-9.5,-9.0,-10.5,-10.5,-7.0,-11.5,-23.0,-38.5,-28.5,-27.5,-27.0,-18.0,-31.0,-26.5,-15.5,-10.5,-19.5,-19.0,
iteration-66,-20.0,-15.5,-9.5,-9.0,-10.5,-10.5,-7.0,-11.5,-23.0,-38.5,-28.5,-27.5,-27.0,-18.0,-31.0,-26.5,-15.5,-10.5,-19.5,-19.0,
iteration-67,-20.0,-15.5,-9.5,-9.0,-10.5,-11.0,-7.5,-12.0,-23.5,-37.5,-27.5,-26.5,-26.0,-18.5,-30.0,-27.0,-16.0,-11.0,-20.0,-19.5,
iteration-68,-19.0,-14.5,-9.5,-8.0,-9.5,-11.0,-8.5,-13.0,-24.5,-36.5,-26.5,-25.5,-26.0,-19.5,-29.0,-27.0,-17.0,-12.0,-21.0,-20.5,
iteration-69,-17.5,-13.0,-9.5,-6.5,-8.0,-11.0,-10.0,-14.5,-24.5,-38.0,-26.5,-27.0,-26.0,-21.0,-27.5,-27.0,-18.5,-13.5,-19.5,-19.0,
iteration-70,-15.5,-11.0,-9.5,-6.5,-6.0,-11.0,-10.0,-16.5,-24.5,-40.0,-26.5,-29.0,-26.0,-23.0,-27.5,-27.0,-18.5,-15.5,-17.5,-17.0,
iteration-71,-15.5,-11.0,-12.0,-9.0,-6.0,-11.0,-10.0,-19.0,-24.5,-40.0,-24.0,-29.0,-26.0,-25.5,-22.5,-24.5,-16.0,-18.0,-17.5,-17.0,
iteration-72,-15.5,-11.0,-9.0,-6.0,-6.0,-11.0,-10.0,-19.0,-24.5,-40.0,-24.0,-29.0,-26.0,-25.5,-22.5,-27.5,-16.0,-21.0,-17.5,-17.0,
iteration-73,-15.5,-11.0,-12.0,-9.0,-3.0,-11.0,-10.0,-19.0,-24.5,-40.0,-24.0,-29.0,-23.0,-25.5,-22.5,-24.5,-19.0,-24.0,-17.5,-14.0,
iteration-74,-15.5,-11.0,-8.5,-5.5,-3.0,-11.0,-10.0,-19.0,-24.5,-40.0,-27.5,-29.0,-23.0,-25.5,-22.5,-28.0,-19.0,-24.0,-17.5,-14.0,
iteration-75,-15.5,-11.0,-12.0,-9.0,-3.0,-11.0,-10.0,-19.0,-24.5,-40.0,-24.0,-29.0,-26.5,-25.5,-19.0,-24.5,-19.0,-24.0,-17.5,-14.0,
iteration-76,-11.5,-7.0,-12.0,-5.0,-3.0,-11.0,-10.0,-19.0,-28.5,-40.0,-20.0,-29.0,-22.5,-25.5,-23.0,-24.5,-23.0,-24.0,-21.5,-18.0,
iteration-77,-11.5,-11.5,-12.0,-9.5,-3.0,-11.0,-10.0,-19.0,-28.5,-40.0,-24.5,-29.0,-22.5,-25.5,-18.5,-24.5,-18.5,-19.5,-21.5,-18.0,
iteration-78,-11.5,-11.5,-7.0,-4.5,-3.0,-11.0,-10.0,-19.0,-28.5,-40.0,-24.5,-29.0,-27.5,-30.5,-18.5,-24.5,-18.5,-24.5,-16.5,-18.0,
iteration-79,-11.5,-11.5,-7.0,-4.5,-3.0,-16.5,-10.0,-19.0,-28.5,-34.5,-30.0,-23.5,-22.0,-25.0,-18.5,-24.5,-24.0,-19.0,-22.0,-23.5,
iteration-80,-11.5,-11.5,-13.0,-10.5,-3.0,-10.5,-10.0,-19.0,-28.5,-34.5,-30.0,-29.5,-16.0,-25.0,-18.5,-24.5,-24.0,-19.0,-22.0,-17.5,
iteration-81,-11.5,-11.5,-6.5,-4.0,-3.0,-10.5,-10.0,-19.0,-28.5,-41.0,-23.5,-23.0,-22.5,-18.5,-25.0,-24.5,-24.0,-25.5,-22.0,-24.0,
iteration-82,-11.5,-11.5,-13.5,-11.0,-3.0,-10.5,-10.0,-19.0,-28.5,-34.0,-23.5,-23.0,-22.5,-25.5,-18.0,-24.5,-17.0,-25.5,-22.0,-24.0,
iteration-83,-11.5,-11.5,-13.5,-11.0,-3.0,-10.5,-10.0,-19.0,-28.5,-34.0,-31.0,-23.0,-22.5,-25.5,-18.0,-24.5,-24.5,-18.0,-22.0,-16.5,
iteration-84,-11.5,-11.5,-5.5,-3.0,-3.0,-10.5,-10.0,-19.0,-28.5,-42.0,-23.0,-23.0,-22.5,-25.5,-18.0,-24.5,-24.5,-26.0,-22.0,-24.5,
iteration-85,-11.5,-11.5,-14.0,-11.5,-3.0,-10.5,-10.0,-19.0,-28.5,-33.5,-31.5,-31.5,-22.5,-17.0,-18.0,-24.5,-16.0,-17.5,-22.0,-24.5,
iteration-86,-11.5,-11.5,-5.0,-2.5,-3.0,-10.5,-19.0,-19.0,-28.5,-33.5,-22.5,-31.5,-22.5,-26.0,-18.0,-15.5,-25.0,-26.5,-22.0,-24.5,
iteration-87,-11.5,-11.5,-14.5,-12.0,-3.0,-10.5,-9.5,-19.0,-28.5,-33.5,-22.5,-22.0,-22.5,-16.5,-27.5,-25.0,-25.0,-17.0,-22.0,-24.5,
iteration-88,-11.5,-11.5,-14.5,-12.0,-3.0,-10.5,-9.5,-19.0,-28.5,-33.5,-22.5,-22.0,-22.5,-16.5,-17.5,-25.0,-25.0,-27.0,-22.0,-24.5,
iteration-89,-11.5,-11.5,-14.5,-12.0,-3.0,-10.5,-9.5,-19.0,-28.5,-33.5,-22.5,-22.0,-22.5,-16.5,-17.5,-25.0,-25.0,-27.0,-22.0,-24.5,
iteration-90,-11.0,-11.0,-13.0,-10.5,-2.5,-10.0,-10.0,-18.5,-28.0,-34.0,-23.0,-22.5,-23.0,-17.0,-18.0,-25.5,-25.5,-27.5,-22.5,-25.0,
iteration-91,-12.0,-12.0,-14.0,-10.5,-3.5,-10.0,-10.0,-18.5,-28.0,-34.0,-23.0,-22.5,-23.0,-18.0,-17.0,-24.5,-24.5,-25.5,-23.5,-24.0,
iteration-92,-10.5,-10.5,-12.5,-9.0,-3.5,-10.0,-11.5,-20.0,-28.0,-35.5,-24.5,-24.0,-24.5,-19.5,-17.0,-24.5,-23.0,-25.5,-22.0,-22.5,
iteration-93,-12.5,-12.5,-12.5,-9.0,-5.5,-10.0,-11.5,-20.0,-28.0,-37.5,-24.5,-26.0,-24.5,-21.5,-15.0,-22.5,-21.0,-25.5,-20.0,-18.5,
iteration-94,-12.5,-12.5,-10.0,-6.5,-5.5,-10.0,-11.5,-20.0,-30.5,-37.5,-24.5,-26.0,-22.0,-21.5,-17.5,-22.5,-23.5,-23.0,-20.0,-21.0,
iteration-95,-12.5,-12.5,-10.0,-9.5,-5.5,-10.0,-11.5,-17.0,-24.5,-40.5,-27.5,-29.0,-25.0,-24.5,-14.5,-22.5,-20.5,-23.0,-20.0,-18.0,
iteration-96,-9.0,-9.0,-6.5,-9.5,-5.5,-10.0,-11.5,-20.5,-28.0,-40.5,-27.5,-29.0,-25.0,-24.5,-18.0,-22.5,-20.5,-23.0,-20.0,-18.0,
iteration-97,-13.0,-13.0,-6.5,-5.5,-5.5,-10.0,-7.5,-16.5,-28.0,-40.5,-27.5,-29.0,-25.0,-24.5,-22.0,-22.5,-20.5,-23.0,-20.0,-18.0,
iteration-98,-13.0,-13.0,-11.0,-10.0,-5.5,-14.5,-12.0,-16.5,-23.5,-36.0,-27.5,-29.0,-25.0,-24.5,-13.0,-18.0,-20.5,-27.5,-20.0,-18.0,
iteration-99,-13.0,-13.0,-11.0,-5.0,-5.5,-9.5,-7.0,-16.5,-28.5,-36.0,-22.5,-29.0,-25.0,-24.5,-18.0,-23.0,-20.5,-22.5,-25.0,-23.0,
iteration-100,-13.0,-13.0,-11.0,-10.5,-5.5,-9.5,-7.0,-16.5,-23.0,-36.0,-28.0,-29.0,-25.0,-24.5,-12.5,-28.5,-20.5,-28.0,-19.5,-17.5,
