Iteration,TASK-0,TASK-1,TASK-2,TASK-3,TASK-4,TASK-5,TASK-6,TASK-7,
iteration-37,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-8.5,-19.5,
iteration-38,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-3.5,-14.5,
iteration-39,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-9.0,-20.0,
iteration-40,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-3.0,-14.0,
iteration-41,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-9.5,-20.5,
iteration-42,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-2.5,-13.5,
iteration-43,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-10.0,-21.0,
iteration-44,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-2.0,-13.0,
iteration-45,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-10.5,-21.5,
iteration-46,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-1.5,-12.5,
iteration-47,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-11.0,-22.0,
iteration-48,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-1.0,-12.0,
iteration-49,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-11.5,-12.0,
iteration-50,-10.5,-8.5,-8.5,-7.0,0.0,-7.0,-11.5,-12.0,
iteration-51,-10.0,-8.0,-8.5,-6.5,-0.5,-7.0,-11.0,-12.5,
iteration-52,-9.0,-8.0,-7.5,-5.5,-1.5,-7.0,-10.0,-13.5,
iteration-53,-9.0,-8.0,-9.0,-5.5,-1.5,-7.0,-10.0,-15.0,
iteration-54,-9.0,-6.5,-7.5,-4.0,-1.5,-7.0,-10.0,-16.5,
iteration-55,-9.0,-8.5,-7.5,-4.0,-1.5,-7.0,-10.0,-18.5,
iteration-56,-9.0,-6.5,-7.5,-4.0,-1.5,-7.0,-10.0,-16.5,
iteration-57,-9.0,-9.0,-7.5,-4.0,-1.5,-7.0,-10.0,-19.0,
iteration-58,-9.0,-9.0,-7.5,-4.0,-1.5,-7.0,-7.0,-16.0,
iteration-59,-9.0,-5.5,-7.5,-4.0,-1.5,-7.0,-7.0,-16.0,
iteration-60,-9.0,-9.0,-7.5,-7.5,-1.5,-7.0,-7.0,-16.0,
iteration-61,-9.0,-5.0,-7.5,-3.5,-1.5,-7.0,-7.0,-16.0,
iteration-62,-13.5,-9.5,-7.5,-3.5,-1.5,-7.0,-7.0,-16.0,
iteration-63,-13.5,-9.5,-7.5,-3.5,-1.5,-7.0,-7.0,-16.0,
iteration-64,-13.0,-9.0,-7.5,-3.5,-1.5,-7.0,-7.0,-16.0,
iteration-65,-12.0,-8.0,-7.5,-3.5,-1.5,-7.0,-7.0,-16.0,
iteration-66,-12.0,-8.0,-9.0,-5.0,-1.5,-7.0,-7.0,-16.0,
iteration-67,-10.0,-6.0,-7.0,-5.0,-1.5,-7.0,-7.0,-18.0,
iteration-68,-12.5,-8.5,-7.0,-5.0,-1.5,-7.0,-7.0,-18.0,
iteration-69,-10.0,-8.5,-4.5,-5.0,-1.5,-7.0,-7.0,-18.0,
iteration-70,-10.0,-8.5,-7.5,-5.0,-1.5,-4.0,-7.0,-15.0,
iteration-71,-10.0,-8.5,-7.5,-5.0,-1.5,-7.5,-10.5,-18.5,
iteration-72,-6.0,-8.5,-3.5,-5.0,-1.5,-7.5,-10.5,-18.5,
iteration-73,-10.5,-8.5,-8.0,-5.0,-1.5,-7.5,-10.5,-18.5,
iteration-74,-5.5,-8.5,-3.0,-5.0,-1.5,-7.5,-10.5,-18.5,
iteration-75,-11.0,-8.5,-8.5,-5.0,-1.5,-7.5,-10.5,-18.5,
iteration-76,-11.0,-8.5,-8.5,-5.0,-1.5,-7.5,-4.5,-12.5,
iteration-77,-11.0,-8.5,-8.5,-5.0,-1.5,-7.5,-4.5,-19.0,
iteration-78,-17.5,-8.5,-8.5,-5.0,-1.5,-7.5,-11.0,-19.0,
iteration-79,-10.5,-8.5,-1.5,-5.0,-1.5,-7.5,-11.0,-19.0,
iteration-80,-10.5,-8.5,-9.0,-12.5,-1.5,-7.5,-11.0,-19.0,
iteration-81,-10.5,-8.5,-1.0,-4.5,-1.5,-7.5,-11.0,-19.0,
iteration-82,-10.5,-8.5,-1.0,-4.5,-1.5,-7.5,-11.0,-19.0,
iteration-83,-10.5,-8.0,-1.5,-5.0,-1.5,-7.0,-10.5,-18.5,
iteration-84,-9.5,-7.0,-2.5,-6.0,-2.5,-6.0,-9.5,-17.5,
iteration-85,-9.5,-7.0,-4.0,-6.0,-2.5,-4.5,-8.0,-16.0,
iteration-86,-9.5,-7.0,-5.5,-7.5,-2.5,-4.5,-8.0,-16.0,
iteration-87,-9.5,-7.0,-5.5,-7.5,-2.5,-6.0,-9.5,-17.5,
iteration-88,-9.5,-7.0,-5.5,-5.5,-0.5,-6.0,-9.5,-17.5,
iteration-89,-12.0,-7.0,-8.0,-5.5,-3.0,-6.0,-9.5,-17.5,
iteration-90,-9.0,-7.0,-8.0,-5.5,-3.0,-6.0,-6.5,-17.5,
iteration-91,-12.5,-10.5,-8.0,-5.5,-3.0,-6.0,-6.5,-17.5,
iteration-92,-12.5,-6.5,-8.0,-5.5,-3.0,-6.0,-6.5,-17.5,
iteration-93,-12.5,-6.5,-4.0,-1.5,-3.0,-6.0,-6.5,-17.5,
iteration-94,-12.5,-6.5,-4.0,-1.5,-3.0,-6.0,-6.5,-17.5,
iteration-95,-12.0,-6.0,-4.5,-2.0,-3.0,-5.5,-6.5,-17.0,
iteration-96,-12.0,-6.0,-5.5,-3.0,-3.0,-5.5,-6.5,-17.0,
iteration-97,-12.0,-6.0,-6.5,-4.0,-3.0,-5.5,-6.5,-17.0,
iteration-98,-12.0,-6.0,-8.0,-5.5,-1.5,-5.5,-8.0,-17.0,
iteration-99,-12.0,-6.0,-6.0,-3.5,-1.5,-5.5,-8.0,-17.0,
iteration-100,-12.0,-6.0,-8.0,-5.5,0.5,-7.5,-8.0,-17.0,
